date,time,direction,entry_price,stop_loss,take_profit,exit_price,pnl,result,balance
2026-02-24,10:15,long,24855.9,24855.9,24895.9,24895.9,198.55,WIN,7074.82
2026-02-24,11:35,long,24951.15,24951.15,24991.15,24991.15,204.29,WIN,7279.1
2026-02-25,09:20,long,25112.4,25112.4,25152.4,25152.4,210.18,WIN,7489.29
2026-02-25,11:00,long,25249.9,25249.9,25289.9,25289.9,216.25,WIN,7705.54
2026-02-26,11:30,short,25034.2,25034.2,24994.2,24994.2,222.5,WIN,7928.04
2026-02-26,11:40,short,24970.95,24990.95,24930.95,24990.95,-127.84,LOSS,7800.2
2026-02-27,09:40,short,24814.0,24834.0,24774.0,24834.0,-125.78,LOSS,7674.42
2026-02-27,10:55,long,24954.1,24954.1,24994.1,24954.1,-8.63,BREAKEVEN,7665.79
2026-02-27,11:10,long,24958.55,24958.55,24998.55,24958.55,-8.62,BREAKEVEN,7657.16
2026-02-27,11:25,long,24939.05,24939.05,24979.05,24979.05,221.1,WIN,7878.26
2026-02-27,11:50,long,24956.55,24936.55,24996.55,24936.55,-127.04,LOSS,7751.23
2026-03-02,09:35,long,24782.5,24782.5,24822.5,24822.5,223.82,WIN,7975.04
2026-03-02,11:30,long,24880.15,24880.15,24920.15,24920.15,230.28,WIN,8205.32
2026-03-02,11:40,long,24989.15,24989.15,25029.15,24989.15,-9.23,BREAKEVEN,8196.09
2026-03-03,10:00,short,24464.15,24484.15,24424.15,24484.15,-132.16,LOSS,8063.93
2026-03-03,10:10,short,24480.75,24480.75,24440.75,24440.75,232.85,WIN,8296.78
2026-03-03,10:20,short,24376.77,24376.77,24336.77,24336.77,239.57,WIN,8536.35
2026-03-03,10:45,short,24398.75,24398.75,24358.75,24358.75,246.49,WIN,8782.83
2026-03-03,12:35,long,24605.25,24605.25,24645.25,24645.25,253.6,WIN,9036.44
2026-03-03,12:45,long,24666.65,24646.65,24706.65,24646.65,-145.71,LOSS,8890.73
2026-03-03,12:55,long,24619.75,24599.75,24659.75,24619.75,-10.0,FORCED_CLOSE,8880.72
2026-03-04,09:00,long,24870.05,24850.05,24910.05,24850.05,-143.2,LOSS,8737.52
2026-03-04,09:30,long,24945.55,24925.55,24985.55,24925.55,-140.89,LOSS,8596.63
2026-03-04,09:45,long,24875.9,24855.9,24915.9,24855.9,-138.62,LOSS,8458.01
2026-03-04,09:55,long,24899.2,24879.2,24939.2,24879.2,-136.39,LOSS,8321.62
2026-03-04,12:35,long,25145.05,25125.05,25185.05,25148.3,10.92,FORCED_CLOSE,8332.54
2026-03-05,10:45,short,25020.05,25040.05,24980.05,25040.05,-134.36,LOSS,8198.18
2026-03-05,11:00,short,25009.8,25029.8,24969.8,25029.8,-132.2,LOSS,8065.99
2026-03-05,11:35,short,24999.3,24999.3,24959.3,24999.3,-9.07,BREAKEVEN,8056.91
2026-03-05,12:20,short,24954.8,24954.8,24914.8,24914.8,232.64,WIN,8289.56
2026-03-06,09:35,short,24661.8,24681.8,24621.8,24681.8,-133.67,LOSS,8155.89
2026-03-06,09:45,short,24655.4,24675.4,24615.4,24675.4,-131.51,LOSS,8024.37
2026-03-06,09:55,short,24671.65,24691.65,24631.65,24691.65,-129.39,LOSS,7894.98
2026-03-06,10:05,short,24657.15,24677.15,24617.15,24677.15,-127.31,LOSS,7767.67
2026-03-06,11:35,long,24838.65,24838.65,24878.65,24878.65,224.29,WIN,7991.97
2026-03-06,12:15,long,24829.05,24829.05,24869.05,24829.05,-8.99,BREAKEVEN,7982.97
2026-03-09,09:15,long,24406.65,24386.65,24446.65,24386.65,-128.73,LOSS,7854.25
2026-03-09,09:30,long,24469.0,24449.0,24509.0,24449.0,-126.65,LOSS,7727.6
2026-03-09,10:30,long,24421.0,24421.0,24461.0,24461.0,223.13,WIN,7950.73
2026-03-10,09:10,short,24961.75,24981.75,24921.75,24981.75,-128.21,LOSS,7822.53
2026-03-10,10:10,short,24922.0,24942.0,24882.0,24942.0,-126.14,LOSS,7696.39
2026-03-10,12:10,long,25106.25,25106.25,25146.25,25106.25,-8.66,BREAKEVEN,7687.73
2026-03-10,12:25,long,25122.5,25122.5,25162.5,25122.5,-8.65,BREAKEVEN,7679.08
2026-03-10,12:50,long,25151.5,25131.5,25191.5,25147.0,-34.56,FORCED_CLOSE,7644.53
2026-03-11,10:40,long,25029.75,25029.75,25069.75,25069.75,220.74,WIN,7865.26
2026-03-11,11:00,long,25065.25,25045.25,25105.25,25045.25,-126.83,LOSS,7738.44
